('194.124.36.36:8080', 'HTTP !', 'NOA', 'Турция ', '19% (4) -', '20:05:23 22:11:53')
('115.76.192.66:20066', 'HTTP', 'HIA', 'Вьетнам !', '29% (2) -', '20:05:23 22:10:52')
('81.250.223.126:80', 'HTTP', 'HIA', 'Франция ', '77% (816) +', '20:05:23 22:10:46')
('162.212.156.146:8080', 'HTTPS !', 'NOA', 'США ', '33% (3) +', '20:05:23 22:10:29')
('62.232.247.126:8080', 'HTTP !', 'NOA', 'Англия ', '15% (35) -', '20:05:23 22:09:26')
('103.155.196.27:8181', 'HTTP !', 'NOA', 'Индонезия ', '21% (5) -', '20:05:23 22:08:41')
('197.50.47.129:8080', 'HTTP !', 'NOA', 'Египет ', '44% (32) -', '20:05:23 22:07:51')
('143.198.241.47:80', 'HTTP', 'HIA', 'Англия !', '27% (194) +', '20:05:23 22:07:27')
('82.99.206.165:8080', 'HTTP !', 'NOA', 'Иран ', '14% (21) -', '20:05:23 22:07:09')
('202.133.53.36:80', 'HTTP !', 'NOA', 'Индия !', '26% (10) -', '20:05:23 22:06:39')
('194.233.164.207:8080', 'HTTPS !', 'NOA', 'Германия ', '40% (2) +', '20:05:23 22:05:49')
('181.78.20.31:8080', 'HTTP !', 'NOA', 'Колумбиа ', '22% (35) -', '20:05:23 22:03:07')
('123.200.11.158:8080', 'HTTP !', 'NOA', 'Бангладеш ', '15% (22) -', '20:05:23 22:01:20')
('61.194.35.58:8080', 'HTTPS !', 'NOA', 'Япония ', '100% (9) +', '20:05:23 22:00:06')
('147.75.122.245:999', 'HTTPS !', 'NOA', 'Колумбиа !', 'новый -', '20:05:23 21:59:11')
('191.102.51.253:8080', 'HTTP !', 'NOA', 'Никарагуа !', '71% (24) -', '20:05:23 21:58:47')
('204.199.174.1:999', 'HTTPS !', 'NOA', 'Перу !', '86% (91) -', '20:05:23 21:56:31')
('77.89.35.50:8080', 'HTTPS !', 'NOA', 'Италия ', '59% (229) -', '20:05:23 21:56:31')
('93.91.112.247:41258', 'HTTP', 'HIA', 'Россия ', '17% (488) -', '20:05:23 21:55:52')
('201.157.254.26:8080', 'HTTP !', 'NOA', 'Бразилия ', '10% (22) -', '20:05:23 21:54:40')
